paperID,title,journal,journalH5,citations,publicationYear,Author,doi,Archive,studyID,effectID,country,published,items,predictedDirection,researchDesign,strategy,personalityTraits,populationType,populationDescription,instrument,comparisonGroupType,measure,affect ,stressComponentType,affectiveConsequencesStress,focalVariable,TypeOfExposure,TypeOfSocialSupport,Source,effectType,nMale	,nFemale,percFemale,meanAge,F,logRegB,B,beta,t,r,chiSq     ,waldChiSq,df1,df2,pReported,sd1,sd2,se1,se2,overall n,n1,n2,mean1,mean2,robDomain1,robDomain2,robDomain3,robDomain4,robDomain5,robOverall,include,reason for exclusion
1,Contact With Nature as a Mental Health Buffer for Lower Income Communities During the COVID-19 Pandemic,Frontiers in Sustainable Cities,,"Cited By :1
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2021,"Pearson, A.L.; Horton, T.; Pfeiffer, K.A.; Buxton, R.; Gardiner, J.; Liu, W.; Hunter, R.F.; White, M.P.",10.3389/frsc.2021.688473,Scopus,1,1,USA,1,,,3,1,,2,,,0,perceived stress,,2,,,2,N/A,N/A,,37,49,57,56.8,,,,1.54,,,,,,,0.079,,,0.86,,86,86,86,,,,,,,,3,1,
1,,,,"Cited By :27
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2020,"Janeczko, E.; Bielinis, E.; Wójcik, R.; Woźnicka, M.; Kedziora, W.; Lukowski, A.; Elsadek, M.; Szyc, K.; Janeczko, K.",10.3390/F11050591,Scopus,1,2,USA,1,,,3,1,,2,,,0,anxiety,,2,,,2,N/A,N/A,,37,49,57,56.8,,,,3.97,,,,,,,0.025,,,1.72,,86,86,86,,,,,,,,3,,
1,,,,"Cited By :24
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2018,"Pasanen, T.; Johnson, K.; Lee, K.; Korpela, K.",10.3389/fpsyg.2018.02057,Scopus,1,3,USA,1,,,3,1,,2,,,0,depression,,,1,,2,N/A,N/A,,37,49,57,56.8,,,,0.90,,,,,,,0.430,,,1.13,,86,86,86,,,,,,,,3,,
2,When urban environment is restorative: The effect of walking in suburbs and forests on psychological and physiological relaxation of young polish adults,Forests,,"Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2021,"Raman, T.L.; Aziz, N.A.A.; Yaakob, S.S.N.",10.3390/su13158597,Scopus,1,1,Poland,1,,,3,1,,1,,,2,systolic blood pressure,,6,,,3,N/A,N/A,,,,,21.5,,,,,,,,,,,,21.57,11.67,,,75,75,75,128.59,110.47,,,,,,2,1,
2,,,,"Cited By :6
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2011,"Lee, J.; Park, B.J.; Tsunetsugu, Y.; Kagawa, T.; Miyazaki, Y.",10.1265/jjh.66.663,Scopus,1,2,Poland,1,,,3,1,,1,,,2,diastolic blood pressure,,6,,,3,N/A,N/A,,,,,21.5,,,,,,,,,,,,10.21,9.29,,,75,75,75,77.86,66.41,,,,,,2,,
2,,,,"Cited By :78
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2013,"Marselle, M.R.; Irvine, K.N.; Warber, S.L.",10.3390/ijerph10115603,Scopus,1,3,Poland,1,,,3,1,,1,,,2,pulse,,6,,,3,N/A,N/A,,,,,21.5,,,,,,,,,,,,14.51,12.29,,,75,75,75,86.82,83.06,,,,,,2,,
2,,,,"Cited By :171
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2009,"Lee, J.; Park, B.-J.; Tsunetsugu, Y.; Kagawa, T.; Miyazaki, Y.",10.1080/02827580902903341,Scopus,1,4,Poland,1,10,,3,1,,1,,,2, positive affect,1,,,,3,N/A,N/A,,,,,21.5,,,,,,,,,,,,0.60,1.09,,,75,75,75,2.95,3.19,,,,,,2,,
2,,,,"Cited By :235
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2007,"Morita, E.; Fukuda, S.; Nagano, J.; Hamajima, N.; Yamamoto, H.; Iwai, Y.; Nakashima, T.; Ohira, H.; Shirakawa, T.",10.1016/j.puhe.2006.05.024,Scopus,1,5,Poland,1,10,,3,1,,1,,,2,negative affect,2,,,,3,N/A,N/A,,,,,21.5,,,,,,,,,,,,0.43,0.20,,,75,75,75,1.46,1.19,,,,,,2,,
2,,,,"Cited By :6
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2008,"Chang, C.Y.; Lin, Y.H.; Chou, M.T.",,Scopus,1,6,Poland,1,6,,3,1,,1,,,2,regenerative  features of the forests,,5,,,3,N/A,N/A,,,,,21.5,,,,,,,,,,,,0.96,1.26,,,75,75,75,4.58,4.89,,,,,,2,,
2,,,,"Cited By :143
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2016,"Gidlow, C.J.; Jones, M.V.; Hurst, G.; Masterson, D.; Clark-Carter, D.; Tarvainen, M.P.; Smith, G.; Nieuwenhuijsen, M.",10.1016/j.jenvp.2015.11.003,Scopus,1,7,Poland,1,,,3,1,,1,,,2,tension,,,,,,,,,,,,21.5,,,,,,,,,,,,0.63,0.48,,,75,75,75,1.22,0.62,,,,,,2,,
2,,,,"Cited By :9
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2020,"Li, C.; Sun, C.; Sun, M.; Yuan, Y.; Li, P.",10.1016/j.ufug.2020.126865,Scopus,1,8,Poland,1,,,3,1,,1,,,2,depression,,,1,,3,N/A,N/A,,,,,21.5,,,,,,,,,,,,0.45,0.31,,,75,75,75,0.58,0.32,,,,,,2,,
3,The effects of different natural environment influences on health and psychological well-being of people: A case study in selangor,Sustainability (Switzerland),,"Cited By :5
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2021,"Bielinis, E.; Janeczko, E.; Takayama, N.; Zawadzka, A.; Słupska, A.; Piętka, S.; Lipponen, M.; Bielinis, L.",10.1371/journal.pone.0244799,Scopus,,1,Malaysia,1,7,,3,1,,2,,,2,stress,,2,,,3,N/A,N/A,,24,56,70,33.68,,,,,,,,,,,<0.001,9.75,7.71,,,80,80,80,20.58,10.38,,,,,,3,1,
3,,,,"Cited By :16
 Export Date: 12 April 2022 | RAYYAN-INCLUSION: {""Alessandro""=>""Included""}",2017,"Niedermeier, M.; Grafetstätter, C.; Hartl, A.; Kopp, M.",10.3390/ijerph14080905,Scopus,,2,Malaysia,1,7,,3,1,,2,,,2,anxiety,,2,,,3,N/A,N/A,,24,56,70,33.68,,,,,,,,,,,<0.001,10.63,7.34,,,80,80,80,16.38,8.08,,,,,,3,,
