paperID,title,journal,journalH5,citations,pubYear,authors,authorsShort,doi,database,studyID,effectID,country,published,items,directionEffect,researchDesign,strategy,personalityTraits,populationType,populationDescription,instrument,comparisonGroupType,measure,affect ,stressComponentType,affectiveConsequencesStress,focalVariable,typeOfExposure,typeOfSocialSupport,supportSource,effectType,nMale	,nFemale,percFemale,meanAge,F,logRegB,B,beta,t,r,r_s,chiSq     ,waldChiSq,df1,df2,pReported,sd1,sd2,se1,se2,nTotal,n1,n2,mean1,mean2,robDomain1,robDomain2,robDomain3,robDomain4,robDomain5,robOverall
1,Examining the impact of COVID-19 on stress and coping strategies in individuals with disabilities and chronic conditions.,Rehabilitation psychology,26,199,2020,"Umucu, Emre; Lee, Beatrice","Umucu et al., 2020",10.1037/rep0000328,,1,1,US,1,8,1,4,2,0,3,individuals with self-reported disabilities and chronic conditions,Perceived Stress Questionnaire-8,0,stress,,2,,1,,0,0,1,,,44.9,39.37,,,,,,0.06,,,,,,,,,,,269,,,,,3,2,1,1,2,3
2,Social support and ambulatory blood pressure in older people.,Journal of hypertension,56,13,2016,"Sanchez-Martínez, Mercedes; López-García, Esther; Guallar-Castillón, Pilar; Cruz, Juan J.; Orozco, Edilberto; García-Esquinas, Esther; Rodríguez-Artalejo, Fernando; Banegas, José R.","Sanchez-Martínez et al., 2016",10.1097/HJH.0000000000001036,,1,1,Spain,1,,1,3,2,0,2,non institutionalized individuals selected through stratified random sampling from the population aged 60 years and older in Spain,,1,systolic blood pressure,,6,,1,,0,0,1,,,49.2,71.7,,,,,,,,,,,,,10.9,11.6,,,1047,73,974,126.4,127,3,2,1,1,2,3
3,Emotional support received moderates academic stress and mental well-being in a sample of Afghan university students amid COVID-19.,The International journal of social psychiatry,34,5,2021,"Green, Zane Asher; Faizi, Farkhonda; Jalal, Rahmatullah; Zadran, Zarifa","Green et al., 2021",10.1177/00207640211057729,,1,1,Afghanistan,1,4,-1,4,2,0,1,"A convenience sample of 508 university students was
recruited from one of the oldest universities in Kabul.",The 4-item Perceptions of Workload and Examinations subscale of the Perception of Academic Stress,0,academic stress,,2,,1,,0,0,1,295,213,42,23.76,,,,,,-0.343,,,,,,,,,,,508,,,,,3,2,1,1,2,3
4,"Depression, stress, emotional support, and self-esteem among baccalaureate nursing students in Thailand.",International journal of nursing education scholarship,13,147,2005,"Ross, Ratchneewan; Zeller, Richard; Srisaeng, Pakvilai; Yimmee, Suchawadee; Somchid, Sujidra; Sawatphanit, Wilaiphan","Ross et al., 2005",10.2202/1548-923x.1165,,1,1,Thailand,1,20,-1,4,2,0,1,331 baccalaureate Thai nursing students,The Center for Epidemiology Studies Depression Scale (CES-D),0,depression,,,1,1,,0,0,1,,,79,20.6,,,-0.43,,,,,,,,,,,,,,331,,,,,3,2,1,1,1,3
5,Coping strategies in egyptian ladies with breast cancer.,Breast cancer : basic and clinical research,20,62,2014,"Elsheshtawy, Eman A.; Abo-Elez, Warda F.; Ashour, Hala S.; Farouk, Omar; El Zaafarany, Maha I. Esmael","Elsheshtawy et al., 2014",10.4137/BCBCR.S14755,,1,1,Egypt,1,7,1,4,2,0,3,Fifty-six patients diagnosed with breast cancer,Hospital Anxiety and Depression Scale (HADS),0,depression,,,1,1,,0,0,1,0,56,100,52,,,,,,0.028,,,,,,non-significant,,,,,56,,,,,3,2,1,1,1,3
5,,,20,,,,"Elsheshtawy et al., 2014",,,1,2,Egypt,1,7,1,4,2,0,3,Fifty-six patients diagnosed with breast cancer,Hospital Anxiety and Depression Scale (HADS),0,anxiety,,2,,1,,0,0,1,0,56,100,52,,,,,,0.196,,,,,,non-significant,,,,,56,,,,,3,2,1,1,1,3
6,"Social Contact, Emotional Support, and Anxiety during the COVID-19 Pandemic among Older Adults with Chronic Conditions.",Clinical gerontologist,24,4,2022,"Shattuck, Sadie M.; Kaba, Diarratou; Zhou, Annie N.; Polenick, Courtney A.","Shattuck et al., 2022",10.1080/07317115.2021.1957051,,1,1,USA,1,2,1,4,2,4,3,"Participants included 705 adults (M = 64.61 years, SD = 8.85, range = 50– 94) from Michigan (82.4%) and 33 other U.S. states",GAD-2,0,anxiety,,2,,1,,0,0,1,,,73.3,64.61,,,0.05,,,,,,,,,non-significant,,,,,705,,,,,3,2,1,2,2,3
7,Testing a model of physical and psychological recovery after a cardiac event.,Western journal of nursing research,32,12,2010,"Yates, Bernice C.; Kosloski, Karl; Kercher, Kyle; Dizona, Paul","Yates et al., 2010",10.1177/0193945910362067,,1,1,USA,1,4,-1,4,2,0,3,The sample consists of 220 cardiac patients,Center for Epidemiological Studies Depression Scale (CES-D),0,depression,,,1,1,,0,0,1,,,,61,,,,-0.25,,,,,,,,p<.001,,,,,220,,,,,3,3,1,1,2,3
8,Social support and depression among elderly Korean immigrants in the United States,International Journal of Aging and Human Development,23,204,1996,"Lee, M.S.; Crittenden, K.S.; Yu, E.","Lee et al., 1996",10.2190/2VHH-JLXY-EBVG-Y8JB,,1,1,USA,1,20,-1,4,2,0,2,200 Korean elders,Center for Epidemiological Studies Depression Scale (CES-D),0,depression,,,1,1,,0,0,1,,,,,,,,-0.231,,,,,,,,,,,,,175,,,,,3,3,1,1,2,3
9,Connecting electronically with friends to cope with isolation during COVID-19 pandemic,Journal of Social and Personal Relationships,36,16,2021,"Juvonen, J.; Schacter, H.L.; Lessard, L.M.","Juvonen et al., 2021",10.1177/0265407521998459,,1,1,USA,1,7,-1,4,2,0,2,"Participants in the current study were between the ages of 18 and 70, living in the U.S.The final sample included 295 participants, the majority of whom were women (83%).",General Anxiety Disorder-7 Measure (GADT-7),0,anxiety,,2,,1,,4,2,1,,,83,36.73,,,-0.23,,,,,,,,,<.001,,,,,295,,,,,3,3,1,1,2,3
