"Source","Statistic","df1","df2","Test.Comparison","Value","Reported.Comparison","Reported.P.Value","Computed","Raw","Error","DecisionError","OneTail","OneTailedInTxt","APAfactor"
"Hartig 1993_CODED","F",1,107,"=",2.96,"=",0.088,0.088238638282376,"F(1, 107)=2.96, p=.088",FALSE,FALSE,FALSE,TRUE,0.34
"Hartig 1993_CODED","F",1,106,"=",3.18,"=",0.078,0.0774068192742857,"F (1,106)=3.18, p=.078",FALSE,FALSE,FALSE,TRUE,0.34
"Hartig 1993_CODED","F",1,102,"=",4.75,"=",0.032,0.0315993680901803,"F(1, 102)=4.75, p=.032",FALSE,FALSE,FALSE,TRUE,0.34
"Hartig 1993_CODED","F",1,99,"=",8.67,"=",0.004,0.00403146582524976,"F(1, 99)=8.67,
p=.004",FALSE,FALSE,FALSE,TRUE,0.34
"Hartig 1993_CODED","F",1,99,"=",10.46,"=",0.002,0.00165834551679173,"F(1, 99)=10.46, p=.002",FALSE,FALSE,FALSE,TRUE,0.34
"Hartig 1993_CODED","F",1,103,"=",38.58,"<",0.001,1.12429102322844e-08,"F(1, 103)=38.58, p<.001",FALSE,FALSE,FALSE,TRUE,0.34
"Hartig 1993_CODED","t",NA,102,"=",6.4,"<",0.001,4.79534495837204e-09,"t(102)= 6.40, p<.001",FALSE,FALSE,FALSE,TRUE,0.34
"Hartig 1993_CODED","t",NA,102,"=",8.98,"<",0.001,1.46599897446431e-14,"t(102)= 8.98, p<.001",FALSE,FALSE,FALSE,TRUE,0.34
"Hartig 1993_CODED","t",NA,30.26,"=",2.66,"=",0.012,0.012377979079189,"t(30.26)= 2.66, p= .012",FALSE,FALSE,FALSE,TRUE,0.34
"Hartig 1993_CODED","t",NA,26.07,"=",1.94,"=",0.063,0.0632697128829779,"t(26.07)= 1.94, p= .063",FALSE,FALSE,FALSE,TRUE,0.34
"Hartig 1993_CODED","t",NA,53,"=",4.05,"<",0.001,0.00016796529224065,"t(53)= 4.05, p<.001",FALSE,FALSE,FALSE,TRUE,0.34
"Hartig 1993_CODED","t",NA,50,"=",3.99,"<",0.005,0.000215980088743824,"t (50)= 3.99, p<.005",FALSE,FALSE,FALSE,TRUE,0.34
"Hartig 1993_CODED","F",1,101,"=",2.97,"=",0.088,0.0878819130868146,"F(1, 101)=2.97,
p=.088",FALSE,FALSE,FALSE,TRUE,0.34
"Hartig 1993_CODED","F",1,101,"=",9.34,"=",0.003,0.00286853284266613,"F(1, 101)=9.34, p=.003",FALSE,FALSE,FALSE,TRUE,0.34
"Hartig 1993_CODED","t",NA,106,"=",3.11,"<",0.003,0.00240339320957154,"t (106)= 3.11, p<.003",FALSE,FALSE,FALSE,TRUE,0.34
"Hartig 1993_CODED","t",NA,106,"=",1.67,"=",0.048,0.0978698901385613,"t(106)= 1.67, p= .048",TRUE,FALSE,TRUE,TRUE,0.34
"Hartig 1993_CODED","t",NA,107,"=",5.25,"<",0.001,7.77725783406061e-07,"t(107)= 5.25,
p<.001",FALSE,FALSE,FALSE,TRUE,0.34
"Hartig 1993_CODED","t",NA,107,"=",6.61,"<",0.001,1.54880707763373e-09,"t(107)= 6.61, p<.001",FALSE,FALSE,FALSE,TRUE,0.34
"Hartig 1993_CODED","t",NA,107,"=",2.78,"<",0.005,0.00642358564653534,"t(107)= 2.78, p<.005",FALSE,FALSE,FALSE,TRUE,0.34
"Hartig 1993_CODED","t",NA,108,"=",1.67,"<",0.05,0.0978152902251446,"t(108)= 1.67, p<.05",FALSE,FALSE,TRUE,TRUE,0.34
"Hartig 1993_CODED","t",NA,106,"=",2.43,"<",0.01,0.0167787087168852,"t(106)= 2.43, p<.01",FALSE,FALSE,FALSE,TRUE,0.34
"Hartig 1993_CODED","t",NA,106,"=",2.74,"<",0.005,0.00721071507591635,"t(106)= 2.74, p<.005",FALSE,FALSE,FALSE,TRUE,0.34
"Hartig 1993_CODED","t",NA,103,"=",1.83,"<",0.04,0.0701420392530218,"t(103)= 1.83, p<.04",FALSE,FALSE,FALSE,TRUE,0.34
"Hartig 1993_CODED","t",NA,104,"=",-2.17,"<",0.02,0.0322830658916581,"t (104)= -2.17, p<.02",FALSE,FALSE,FALSE,TRUE,0.34
"Hartig 1993_CODED","t",NA,96,"=",2.37,"<",0.03,0.0197880302142676,"t(96)= 2.37, p<.03",FALSE,FALSE,FALSE,TRUE,0.34
